# x_m, y_m
# Centreline of 'icra26', traced from icra26.yaml
# by scripts/track_tool.py centerline. Lap length 78.49 m.
# This is the middle of the track, NOT a racing line: a starting
# point to shift towards the apexes and add a speed profile to.
-0.8025, 7.5400
-0.6022, 7.5400
-0.4019, 7.5400
-0.2015, 7.5400
-0.0012, 7.5400
0.1991, 7.5400
0.3994, 7.5400
0.5984, 7.5203
0.7908, 7.4654
0.9725, 7.3815
1.1417, 7.2745
1.2991, 7.1508
1.4463, 7.0150
1.5936, 6.8793
1.7481, 6.7519
1.9104, 6.6345
2.0809, 6.5295
2.2607, 6.4416
2.4501, 6.3766
2.6433, 6.3238
2.8380, 6.2770
3.0353, 6.2426
3.2340, 6.2172
3.4334, 6.1989
3.6335, 6.1900
3.8338, 6.1900
4.0341, 6.1900
4.2345, 6.1900
4.4348, 6.1900
4.6351, 6.1900
4.8354, 6.1900
5.0357, 6.1907
5.2347, 6.2119
5.4278, 6.2644
5.6102, 6.3468
5.7804, 6.4522
5.9385, 6.5749
6.0862, 6.7102
6.2298, 6.8498
6.3715, 6.9915
6.5121, 7.1342
6.6454, 7.2836
6.7687, 7.4415
6.8791, 7.6085
6.9745, 7.7845
7.0435, 7.9723
7.0895, 8.1671
7.1212, 8.3648
7.1437, 8.5638
7.1568, 8.7637
7.1664, 8.9638
7.1700, 9.1640
7.1700, 9.3643
7.1700, 9.5646
7.1700, 9.7649
7.1617, 9.9650
7.1521, 10.1651
7.1426, 10.3652
7.1331, 10.5653
7.1176, 10.7650
7.1045, 10.9648
7.0950, 11.1649
7.0855, 11.3650
7.0759, 11.5651
7.0700, 11.7652
7.0700, 11.9655
7.0664, 12.1658
7.0569, 12.3659
7.0473, 12.5659
7.0378, 12.7660
7.0283, 12.9661
7.0200, 13.1662
7.0200, 13.3666
7.0200, 13.5669
7.0116, 13.7670
6.9984, 13.9668
6.9794, 14.1662
6.9604, 14.3656
6.9414, 14.5650
6.9098, 14.7627
6.8483, 14.9531
6.7654, 15.1352
6.6500, 15.2984
6.5009, 15.4315
6.3267, 15.5297
6.1389, 15.5989
5.9406, 15.6158
5.7476, 15.5648
5.5667, 15.4793
5.4087, 15.3570
5.2850, 15.2001
5.1981, 15.0200
5.1415, 14.8281
5.1200, 14.6292
5.1200, 14.4289
5.1200, 14.2286
5.1253, 14.0284
5.1348, 13.8283
5.1444, 13.6282
5.1539, 13.4281
5.1664, 13.2283
5.1824, 13.0286
5.1920, 12.8286
5.2015, 12.6285
5.2110, 12.4284
5.2200, 12.2283
5.2200, 12.0280
5.2200, 11.8277
5.2200, 11.6273
5.2206, 11.4270
5.2301, 11.2270
5.2397, 11.0269
5.2492, 10.8268
5.2587, 10.6267
5.2683, 10.4266
5.2700, 10.2263
5.2700, 10.0260
5.2663, 9.8258
5.2311, 9.6289
5.1632, 9.4407
5.0661, 9.2658
4.9345, 9.1154
4.7724, 8.9986
4.5907, 8.9146
4.3965, 8.8698
4.1993, 8.8969
4.0146, 8.9739
3.8466, 9.0823
3.7058, 9.2242
3.5939, 9.3899
3.5103, 9.5718
3.4559, 9.7643
3.4332, 9.9631
3.4237, 10.1632
3.4200, 10.3634
3.4165, 10.5637
3.4070, 10.7637
3.3974, 10.9638
3.3879, 11.1639
3.3784, 11.3640
3.3689, 11.5641
3.3593, 11.7642
3.3439, 11.9639
3.3249, 12.1633
3.2959, 12.3612
3.2341, 12.5515
3.1498, 12.7331
3.0444, 12.9034
2.9261, 13.0648
2.7912, 13.2127
2.6375, 13.3410
2.4717, 13.4532
2.2935, 13.5442
2.1039, 13.6081
1.9061, 13.6383
1.7059, 13.6400
1.5056, 13.6400
1.3052, 13.6400
1.1049, 13.6400
0.9046, 13.6400
0.7043, 13.6400
0.5040, 13.6400
0.3037, 13.6400
0.1034, 13.6400
-0.0969, 13.6400
-0.2973, 13.6400
-0.4974, 13.6320
-0.6975, 13.6225
-0.8976, 13.6130
-1.0976, 13.6034
-1.2977, 13.5939
-1.4980, 13.5900
-1.6983, 13.5900
-1.8986, 13.5900
-2.0989, 13.5900
-2.2992, 13.5900
-2.4994, 13.5867
-2.6995, 13.5772
-2.8996, 13.5676
-3.0997, 13.5581
-3.2998, 13.5486
-3.4999, 13.5400
-3.7001, 13.5343
-3.9002, 13.5248
-4.0996, 13.5063
-4.2974, 13.4748
-4.4917, 13.4266
-4.6778, 13.3529
-4.8542, 13.2583
-5.0194, 13.1452
-5.1758, 13.0201
-5.3157, 12.8768
-5.4375, 12.7180
-5.5406, 12.5464
-5.6252, 12.3650
-5.6883, 12.1751
-5.7222, 11.9778
-5.7453, 11.7789
-5.7643, 11.5795
-5.7762, 11.3795
-5.7929, 11.1800
-5.8119, 10.9805
-5.8308, 10.7811
-5.8526, 10.5821
-5.8809, 10.3838
-5.9017, 10.1846
-5.9162, 9.9848
-5.9354, 9.7854
-5.9661, 9.5875
-6.0014, 9.3904
-6.0519, 9.1966
-6.1185, 9.0077
-6.2042, 8.8269
-6.3095, 8.6565
-6.4254, 8.4932
-6.5366, 8.3266
-6.6450, 8.1581
-6.7427, 7.9834
-6.8178, 7.7979
-6.8615, 7.6027
-6.8746, 7.4029
-6.8800, 7.2027
-6.8800, 7.0024
-6.8800, 6.8021
-6.8800, 6.6018
-6.8800, 6.4014
-6.8800, 6.2011
-6.8800, 6.0008
-6.8800, 5.8005
-6.8800, 5.6002
-6.8800, 5.3999
-6.8843, 5.1997
-6.8938, 4.9996
-6.9034, 4.7995
-6.9129, 4.5994
-6.9224, 4.3993
-6.9300, 4.1992
-6.9300, 3.9989
-6.9300, 3.7986
-6.9300, 3.5982
-6.9300, 3.3979
-6.9300, 3.1976
-6.9300, 2.9973
-6.9300, 2.7970
-6.9279, 2.5967
-6.9164, 2.3968
-6.8888, 2.1985
-6.8434, 2.0035
-6.7713, 1.8168
-6.6740, 1.6419
-6.5605, 1.4769
-6.4350, 1.3208
-6.3027, 1.1704
-6.1650, 1.0250
-6.0232, 0.8835
-5.8769, 0.7467
-5.7258, 0.6152
-5.5673, 0.4928
-5.3997, 0.3832
-5.2240, 0.2871
-5.0386, 0.2119
-4.8474, 0.1521
-4.6520, 0.1085
-4.4543, 0.0768
-4.2553, 0.0543
-4.0553, 0.0436
-3.8550, 0.0400
-3.6547, 0.0400
-3.4546, 0.0316
-3.2545, 0.0221
-3.0544, 0.0126
-2.8543, 0.0031
-2.6543, -0.0065
-2.4540, -0.0100
-2.2537, -0.0100
-2.0534, -0.0100
-1.8531, -0.0100
-1.6528, -0.0100
-1.4525, -0.0100
-1.2523, -0.0015
-1.0523, 0.0080
-0.8522, 0.0175
-0.6521, 0.0270
-0.4520, 0.0366
-0.2518, 0.0400
-0.0514, 0.0400
0.1489, 0.0400
0.3492, 0.0400
0.5495, 0.0400
0.7497, 0.0425
0.9493, 0.0591
1.1489, 0.0757
