# x_m, y_m
# Centreline of 'icra26_compete', traced from icra26_compete.yaml
# by scripts/track_tool.py centerline. Lap length 54.43 m.
# This is the middle of the track, NOT a racing line: a starting
# point to shift towards the apexes and add a speed profile to.
-2.6796, -9.8505
-2.8117, -9.7002
-2.9372, -9.5442
-3.0525, -9.3806
-3.1554, -9.2089
-3.2475, -9.0312
-3.3304, -8.8491
-3.4093, -8.6651
-3.4881, -8.4810
-3.5702, -8.2985
-3.6498, -8.1148
-3.7203, -7.9276
-3.7796, -7.7364
-3.8222, -7.5409
-3.8469, -7.3423
-3.8594, -7.1425
-3.8600, -6.9423
-3.8600, -6.7422
-3.8600, -6.5420
-3.8516, -6.3421
-3.8183, -6.1448
-3.7595, -5.9536
-3.6769, -5.7713
-3.5751, -5.5991
-3.4596, -5.4357
-3.3383, -5.2765
-3.2154, -5.1184
-3.0921, -4.9608
-2.9698, -4.8023
-2.8485, -4.6430
-2.7317, -4.4804
-2.6186, -4.3153
-2.5047, -4.1507
-2.3952, -3.9831
-2.2923, -3.8115
-2.1912, -3.6387
-2.0918, -3.4649
-1.9958, -3.2893
-1.9083, -3.1093
-1.8276, -2.9261
-1.7542, -2.7399
-1.6884, -2.5509
-1.6251, -2.3610
-1.5665, -2.1696
-1.5071, -1.9784
-1.4438, -1.7885
-1.3805, -1.5986
-1.3203, -1.4077
-1.2660, -1.2151
-1.2223, -1.0197
-1.1898, -0.8223
-1.1692, -0.6232
-1.1600, -0.4232
-1.1600, -0.2230
-1.1600, -0.0228
-1.1600, 0.1774
-1.1600, 0.3776
-1.1600, 0.5778
-1.1600, 0.7779
-1.1600, 0.9781
-1.1604, 1.1783
-1.1699, 1.3783
-1.1794, 1.5782
-1.1890, 1.7782
-1.1985, 1.9782
-1.2080, 2.1781
-1.2100, 2.3783
-1.2100, 2.5785
-1.2128, 2.7786
-1.2305, 2.9778
-1.2818, 3.1711
-1.3634, 3.3537
-1.4719, 3.5215
-1.6132, 3.6627
-1.7798, 3.7732
-1.9626, 3.8542
-2.1564, 3.9028
-2.3547, 3.8856
-2.5436, 3.8199
-2.7208, 3.7273
-2.8780, 3.6039
-3.0050, 3.4497
-3.1009, 3.2742
-3.1696, 3.0864
-3.2057, 2.8898
-3.2100, 2.6898
-3.2100, 2.4896
-3.2100, 2.2894
-3.2038, 2.0894
-3.1943, 1.8894
-3.1847, 1.6894
-3.1752, 1.4895
-3.1657, 1.2895
-3.1600, 1.0894
-3.1600, 0.8892
-3.1615, 0.6891
-3.1906, 0.4914
-3.2536, 0.3016
-3.3449, 0.1237
-3.4709, -0.0313
-3.6285, -0.1540
-3.8075, -0.2432
-3.9981, -0.3034
-4.1965, -0.3235
-4.3926, -0.2850
-4.5794, -0.2136
-4.7544, -0.1168
-4.9102, 0.0083
-5.0406, 0.1600
-5.1461, 0.3299
-5.2284, 0.5122
-5.2826, 0.7047
-5.3107, 0.9027
-5.3297, 1.1020
-5.3401, 1.3019
-5.3582, 1.5013
-5.3786, 1.7004
-5.3985, 1.8996
-5.4212, 2.0984
-5.4531, 2.2960
-5.4848, 2.4936
-5.5141, 2.6916
-5.5438, 2.8896
-5.5712, 3.0879
-5.5949, 3.2866
-5.6139, 3.4859
-5.6406, 3.6843
-5.6642, 3.8830
-5.6925, 4.0812
-5.7181, 4.2797
-5.7370, 4.4790
-5.7509, 4.6786
-5.7600, 4.8786
-5.7600, 5.0788
-5.7600, 5.2790
-5.7596, 5.4792
-5.7500, 5.6791
-5.7350, 5.8787
-5.7040, 6.0764
-5.6618, 6.2721
-5.6049, 6.4639
-5.5416, 6.6539
-5.4634, 6.8380
-5.3700, 7.0150
-5.2622, 7.1836
-5.1435, 7.3448
-5.0160, 7.4991
-4.8816, 7.6474
-4.7384, 7.7872
-4.5847, 7.9154
-4.4196, 8.0284
-4.2421, 8.1205
-4.0531, 8.1859
-3.8557, 8.2178
-3.6556, 8.2200
-3.4554, 8.2200
-3.2552, 8.2200
-3.0552, 8.2124
-2.8562, 8.1909
-2.6588, 8.1579
-2.4636, 8.1137
-2.2723, 8.0550
-2.0850, 7.9843
-1.9008, 7.9061
-1.7208, 7.8185
-1.5457, 7.7214
-1.3766, 7.6144
-1.2144, 7.4972
-1.0576, 7.3727
-0.9057, 7.2423
-0.7573, 7.1079
-0.6124, 6.9699
-0.4696, 6.8296
-0.3288, 6.6873
-0.1928, 6.5404
-0.0642, 6.3870
0.0563, 6.2272
0.1669, 6.0604
0.2618, 5.8843
0.3404, 5.7003
0.4071, 5.5116
0.4683, 5.3210
0.5150, 5.1264
0.5570, 4.9307
0.5905, 4.7334
0.6124, 4.5345
0.6291, 4.3352
0.6620, 4.1377
0.6937, 3.9401
